"gene;AN;origin;antibiotic"
"AAC;KJ695408_1;soil;GEN"
"AAC;KJ695675_1;soil;GEN"
"AAC;KJ695098_1;soil;GEN"
"AAC;KJ696292_1;soil;GEN"
"AAC;KJ694287_1;soil;GEN"
"AAC;KJ692919_1;soil;GEN"
"AAC;KJ695676_1;soil;GEN"
"AAC;KJ695346_1;soil;GEN"
"AAC;KJ695854_1;soil;GEN"
"AAC;KJ695671_1;soil;GEN"
"AAC;KJ694028_1;soil;GEN"
"AAC;KJ694925_1;soil;GEN"
"AAC;KJ695106_1;soil;GEN"
"AAC;KJ693450_1;soil;GEN"
"AAC;KJ695105_1;soil;GEN"
"AAC;KU547157.1;latrine;GEN"
"AAC;GQ343185.1;feces;SIS"
"AAC;GQ343134.1;feces;GEN"
"AAC;GQ343136.1;feces;GEN"
"AAC;KU544318.1;sewage;GEN"
"AAC;GQ343178.1;feces;SIS"
"AAC;KU547731.1;latrine;GEN"
"AAC;GQ343186.1;feces;SIS"
"AAC;KU544727.1;sewage;GEN"
"AAC;KU548684.1;soil;GEN"
"AAC;KU544329.1;sewage;GEN"
"AAC;KU544346.1;sewage;GEN"
"AAC;KU544723.1;sewage;GEN"
"AAC;KU548683.1;soil;GEN"
"AAC;KU544324.1;sewage;GEN"
"AAC;KU544343.1;sewage;GEN"
"AAC;KU544892.1;feces;GEN"
"AAC;KU546299.1;feces;GEN"
"ANT;KU544724.1;sewage;GEN"
"APH;KJ694954_1;soil;GEN"
"APH;KJ695413_1;soil;GEN"
"APH;KJ694435_1;soil;GEN"
"APH;KJ695257_1;soil;GEN"
"beta_lactamase;GQ343015.1;feces;AMX"
"beta_lactamase;GQ343155.1;feces;PEN"
"beta_lactamase;GQ343008.1;feces;AMX"
"beta_lactamase;GQ343018.1;feces;AMX"
"beta_lactamase;GQ343075.1;feces;CDR"
"beta_lactamase;GQ343071.1;feces;CDR"
"beta_lactamase;GQ343073.1;feces;CDR"
"beta_lactamase;GQ343055.1;feces;CAR"
"beta_lactamase;KU544018.1;sewage;ATM"
"beta_lactamase;KU544208.1;sewage;FOX"
"beta_lactamase;KU544179.1;sewage;FOX"
"beta_lactamase;KU547077.1;latrine;PEN"
"beta_lactamase;KU544497.1;sewage;AMX"
"beta_lactamase;KU544754.1;sewage;PIP"
"beta_lactamase;KU543962.1;sewage;AMX"
"beta_lactamase;KU544486.1;sewage;AMX"
"beta_lactamase;KU543963.1;sewage;AMX"
"beta_lactamase;KU544700.1;sewage;CAZ"
"beta_lactamase;KU547082.1;latrine;PEN"
"beta_lactamase;KU548485.1;soil;PIP"
"beta_lactamase;KU544742.1;sewage;PIP"
"beta_lactamase;KU544403.1;sewage;PIP"
"beta_lactamase;KU545222.1;feces;AMX"
"beta_lactamase;KU546739.1;feces;AMX"
"beta_lactamase;KU548675.1;soil;AMX"
"beta_lactamase;KU548668.1;soil;AMX"
"beta_lactamase;KU543958.1;sewage;AMX"
"beta_lactamase;KU548399.1;soil;AMX"
"beta_lactamase;KU547038.1;latrine;AMX"
"beta_lactamase;KU543923.1;sewage;AMX"
"beta_lactamase;KU545730.1;feces;AMX"
"beta_lactamase;KU543952.1;sewage;AMX"
"beta_lactamase;KU543994.1;sewage;AMX"
"beta_lactamase;KU544569.1;sewage;FEP"
"beta_lactamase;KU544572.1;sewage;FEP"
"beta_lactamase;KU544567.1;sewage;FEP"
